TIME_PERIOD,excess_reserves,short_rate,govt_yield_10y,ltd_ratio_calc
2014-11-01,188272.3142857143,-0.09655000000000001,1.5084453174510917,100.44178184494284
2014-12-01,185443.82142857145,-0.1151428571428571,1.2924045961830744,100.47369743540331
2015-01-01,236253.76866530607,-0.1356190476190476,1.0481999753431266,100.1937997701339
2015-02-01,236253.76866530607,-0.121,0.9538841137836351,100.36510086132304
2015-03-01,225345.38095238092,-0.1353636363636363,0.7815081763176689,100.3714351254331
2015-04-01,261843.97619047615,-0.15949999999999992,0.767811513055835,100.73504073617269
2015-05-01,261843.97619047615,-0.19075,1.2302308976057215,100.46686961508138
2015-06-01,303396.44897959183,-0.20350000000000001,1.5954310646345724,100.76521665290441
2015-07-01,381355.2619047619,-0.202695652173913,1.487455448643609,100.94499963924095
2015-08-01,381355.2619047619,-0.2062857142857142,1.3493759077813678,101.07026331414437
2015-09-01,428397.1632653061,-0.2206818181818181,1.3633722551561915,101.02048060162174
2015-10-01,465325.2244897959,-0.2239090909090909,1.1800902697419369,101.13241814938286
2015-11-01,465325.2244897959,-0.21966666666666662,1.1332169585363527,101.55663716182404
2015-12-01,493811.8571428572,-0.2839545454545454,1.15554018552162,101.40620874786181
2016-01-01,557104.4897959183,-0.32369999999999993,1.1121476249425375,101.45450747868891
2016-02-01,557104.4897959183,-0.3253809523809524,0.9499872536425112,101.70439572572067
2016-03-01,556540.4489795918,-0.3727142857142856,0.855277279395548,101.66932689112333
2016-04-01,569991.881,-0.4228095238095238,0.8316279941400497,102.04219191095088
2016-05-01,569991.881,-0.42299999999999993,0.8431679588795629,102.23836067658925
2016-06-01,623754.4761904762,-0.4175454545454546,0.7110489143630457,102.00567757758938
2016-07-01,657453.3061,-0.4137619047619047,0.500648008905303,102.63019778486981
2016-08-01,657453.3061,-0.4238260869565218,0.4434868771762475,103.04790989136006
2016-09-01,748812.2857142857,-0.42799999999999994,0.4922736019410301,103.37100373801502
2016-10-01,777402.5238095238,-0.4316190476190476,0.5916376485262865,103.82211002463097
2016-11-01,777402.5238095238,-0.43372727272727274,0.928285543434792,104.1009728168217
2016-12-01,823877.4693877551,-0.43542857142857133,0.9732564962577959,103.38013503749512
2017-01-01,919030.6904761904,-0.4365454545454545,1.0527407350983355,103.83921632662336
2017-02-01,919030.6904761904,-0.43785,1.182886924226399,104.17767134716651
2017-03-01,960892.6122,-0.4384782608695652,1.2224510009136478,103.84498381381519
2017-04-01,960892.6122,-0.44188888888888883,1.0967574443320176,104.04888892598987
